계산값 이상치 55건
| 한미반도체 | 당기순이익(지배) | 2023Q4 | 8.2 | 85,360,482,231 | 85,360,482,231 | O | 267,167,515,858 - 181,807,033,627 | Q1~Q3 공시 합 181,807,033,627 + Q4 = 267,167,515,858 vs 연간 267,167,515,858 → 일치 |
| 한미반도체 | 영업활동현금흐름 | 2022Q3 | 3.7 | 26,644,868,914 | 26,644,868,914 | O | 42,748,797,222 - 16,103,928,308 | - |
| HMM | 당기순이익(지배) | 2023Q4 | 4.1 | 262,951,000,000 | 262,951,000,000 | O | 968,560,000,000 - 705,609,000,000 | Q1~Q3 중 공시 아닌 칸 있음(건너뜀) |
| LG화학 | 영업활동현금흐름 | 2019Q4 | 3.6 | 1,836,156,000,000 | 1,836,156,000,000 | O | 3,121,101,000,000 - 1,284,945,000,000 | - |
| LG화학 | 영업활동현금흐름 | 2024Q4 | 4.0 | 4,226,712,000,000 | 4,226,712,000,000 | O | 7,012,339,000,000 - 2,785,627,000,000 | - |
| SK텔레콤 | 매출액 | 2021Q4 | 20.3 | 2,182,356,000,000 | 2,182,356,000,000 | O | 16,748,585,000,000 - 14,566,229,000,000 | Q1~Q3 공시 합 14,566,229,000,000 + Q4 = 16,748,585,000,000 vs 연간 16,748,585,000,000 → 일치 |
| SK텔레콤 | 영업활동현금흐름 | 2020Q2 | 4.3 | 1,906,084,000,000 | 재작성 반영: 원 공시 1,912,298,000,000, 원 보고서 재계산 1912298000000 → O |
| SK텔레콤 | 영업활동현금흐름 | 2025Q3 | 3.8 | 166,297,000,000 | 166,297,000,000 | O | 2,822,786,000,000 - 2,656,489,000,000 | - |
| 삼성중공업 | 영업활동현금흐름 | 2024Q4 | 13.1 | 689,831,292,349 | 689,831,292,349 | O | 654,519,940,133 - -35,311,352,216 | - |
| 삼성중공업 | 영업활동현금흐름 | 2025Q3 | 5.8 | 1,367,889,098,156 | 1,367,889,098,156 | O | 1,638,333,063,758 - 270,443,965,602 | - |
| LG | 매출액 | 2021Q4 | 4.6 | 728,203,000,000 | 728,203,000,000 | O | 6,859,010,000,000 - 6,130,807,000,000 | Q1~Q3 공시 합 6,130,807,000,000 + Q4 = 6,859,010,000,000 vs 연간 6,859,010,000,000 → 일치 |
| LG | 영업활동현금흐름 | 2022Q4 | 4.4 | 280,154,000,000 | 280,154,000,000 | O | 641,024,000,000 - 360,870,000,000 | - |
| 삼성에스디에스 | 영업활동현금흐름 | 2024Q4 | 4.1 | 655,388,479,955 | 655,388,479,955 | O | 1,238,044,504,932 - 582,656,024,977 | - |
| S-Oil | 당기순이익(지배) | 2025Q4 | 4.1 | 225,086,000,000 | 225,086,000,000 | O | 176,952,000,000 - -48,134,000,000 | Q1~Q3 공시 합 -48,134,000,000 + Q4 = 176,952,000,000 vs 연간 176,952,000,000 → 일치 |
| S-Oil | 영업활동현금흐름 | 2019Q4 | 3.8 | 488,126,000,000 | 재작성 반영: 원 공시 485,639,000,000, 원 보고서 재계산 485639000000 → O |
