기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처
Ecolab,ECL,2019Q4,2019-12-31,분기별 영업이익,재분류(미반영),560400000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/31462/000155837020001788/ ; https://www.sec.gov/Archives/edgar/data/31462/000155837019009602/,518200000,https://www.sec.gov/Archives/edgar/data/31462/000155837022002059/ ; https://www.sec.gov/Archives/edgar/data/31462/000155837020012094/
Ecolab,ECL,2020Q1,2020-03-31,분기별 매출액,재분류(미반영),3581400000,공시,https://www.sec.gov/Archives/edgar/data/31462/000155837020005691/,3020600000,https://www.sec.gov/Archives/edgar/data/31462/000155837022002059/
Ecolab,ECL,2020Q1,2020-03-31,분기별 영업이익,재분류(미반영),397200000,공시,https://www.sec.gov/Archives/edgar/data/31462/000155837020005691/,376200000,https://www.sec.gov/Archives/edgar/data/31462/000155837022002059/
Synopsys,SNPS,2022Q3,2022-10-31,분기별 영업이익,재분류(미반영),217373000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/883241/000088324122000017/ ; https://www.sec.gov/Archives/edgar/data/883241/000088324122000014/,204049000,https://www.sec.gov/Archives/edgar/data/883241/000088324124000024/ ; https://www.sec.gov/Archives/edgar/data/883241/000088324122000014/
Synopsys,SNPS,2023Q1,2023-04-30,분기별 매출액,재분류(미반영),1394863000,공시,https://www.sec.gov/Archives/edgar/data/883241/000088324123000012/,1262744000,https://www.sec.gov/Archives/edgar/data/883241/000088324124000016/
Synopsys,SNPS,2023Q1,2023-04-30,분기별 영업이익,재분류(미반영),287332000,공시,https://www.sec.gov/Archives/edgar/data/883241/000088324123000012/,292375000,https://www.sec.gov/Archives/edgar/data/883241/000088324124000016/
Synopsys,SNPS,2023Q2,2023-07-31,분기별 매출액,재분류(미반영),1487288000,공시,https://www.sec.gov/Archives/edgar/data/883241/000088324123000016/,1354390000,https://www.sec.gov/Archives/edgar/data/883241/000088324124000021/
Synopsys,SNPS,2023Q2,2023-07-31,분기별 영업이익,재분류(미반영),295474000,공시,https://www.sec.gov/Archives/edgar/data/883241/000088324123000016/,300076000,https://www.sec.gov/Archives/edgar/data/883241/000088324124000021/
Synopsys,SNPS,2023Q3,2023-10-31,분기별 매출액,재분류(미반영),1599128000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/883241/000088324123000019/ ; https://www.sec.gov/Archives/edgar/data/883241/000088324123000016/,1467383000,https://www.sec.gov/Archives/edgar/data/883241/000088324125000028/ ; https://www.sec.gov/Archives/edgar/data/883241/000088324124000021/
Synopsys,SNPS,2023Q3,2023-10-31,분기별 영업이익,재분류(미반영),430521000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/883241/000088324123000019/ ; https://www.sec.gov/Archives/edgar/data/883241/000088324123000016/,424165000,https://www.sec.gov/Archives/edgar/data/883241/000088324125000028/ ; https://www.sec.gov/Archives/edgar/data/883241/000088324124000021/
Synopsys,SNPS,2023Q4,2024-01-31,분기별 매출액,재분류(미반영),1649230000,공시,https://www.sec.gov/Archives/edgar/data/883241/000088324124000013/,1510989000,https://www.sec.gov/Archives/edgar/data/883241/000088324125000014/
Synopsys,SNPS,2023Q4,2024-01-31,분기별 영업이익,재분류(미반영),359620000,공시,https://www.sec.gov/Archives/edgar/data/883241/000088324124000013/,352626000,https://www.sec.gov/Archives/edgar/data/883241/000088324125000014/
Cummins,CMI,2019Q4,2019-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),19737000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617220000009/,,https://www.sec.gov/Archives/edgar/data/26172/000002617220000009/
Cummins,CMI,2019Q4,2019-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),11272000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617220000009/,,https://www.sec.gov/Archives/edgar/data/26172/000002617220000009/
Cummins,CMI,2019Q4,2019-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),8465000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617220000009/,,https://www.sec.gov/Archives/edgar/data/26172/000002617220000009/
Cummins,CMI,2019Q4,2019-12-31,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),7507000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617220000009/,,https://www.sec.gov/Archives/edgar/data/26172/000002617220000009/
Cummins,CMI,2020Q4,2020-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),22624000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617221000012/,,https://www.sec.gov/Archives/edgar/data/26172/000002617221000012/
